control_id,seed,pair_iptm_0_1,pair_iptm_1_0,pair_iptm_mean,mapped_CA_interface_plddt,chemistry_gate_passed,critical_links_passed,stereochemistry_passed,fraction_bonds_within_bounds,positive_core_CA_RMSD_A,structure
KRpep-2d,17,0.4209250807762146,0.7070515751838684,0.5639883279800415,56.823161217474166,True,True,True,1.0,21.395477801213506,results/control-remediation-v2-002/extracted/KRpep-2d-seed-17/boltz_results_KRpep-2d/predictions/KRpep-2d/KRpep-2d_model_0.cif
SCRAMBLE-20260914,17,0.5374160408973694,0.7644801735877991,0.6509481072425842,67.02813890245226,True,True,True,1.0,,results/control-remediation-v2-002/extracted/SCRAMBLE-20260914-seed-17/boltz_results_SCRAMBLE-20260914/predictions/SCRAMBLE-20260914/SCRAMBLE-20260914_model_0.cif
KRpep-2d,42,0.5081244111061096,0.7899367213249207,0.6490305662155151,64.41451614133773,True,True,True,1.0,12.236537595647563,results/control-remediation-v2-002/extracted/KRpep-2d-seed-42/boltz_results_KRpep-2d/predictions/KRpep-2d/KRpep-2d_model_0.cif
SCRAMBLE-20260914,42,0.3704659938812256,0.6004635691642761,0.48546478152275085,59.509999731312625,True,True,True,1.0,,results/control-remediation-v2-002/extracted/SCRAMBLE-20260914-seed-42/boltz_results_SCRAMBLE-20260914/predictions/SCRAMBLE-20260914/SCRAMBLE-20260914_model_0.cif
KRpep-2d,101,0.5257728695869446,0.7879939675331116,0.6568834185600281,68.26182399076573,True,True,True,1.0,11.029008993957461,results/control-remediation-v2-002/extracted/KRpep-2d-seed-101/boltz_results_KRpep-2d/predictions/KRpep-2d/KRpep-2d_model_0.cif
SCRAMBLE-20260914,101,0.4913632869720459,0.7763304710388184,0.6338468790054321,65.22883288065593,True,True,True,1.0,,results/control-remediation-v2-002/extracted/SCRAMBLE-20260914-seed-101/boltz_results_SCRAMBLE-20260914/predictions/SCRAMBLE-20260914/SCRAMBLE-20260914_model_0.cif
