control_id,seed,pair_iptm_A_to_B,pair_iptm_B_to_A,pair_iptm_mean,interface_CA_plddt_0_to_100,target_interface_residues,peptide_interface_residues,global_iptm_not_used_for_gate,Cys5_SG_Cys15_SG_A,ACE_C_peptide1_N_A,peptide19_C_NH2_N_A,positive_core_CA_5_to_15_RMSD_A,structure
KRpep-2d,17,0.8764951229095459,0.9423770308494568,0.9094360768795013,94.77400023361733,15,14,0.9570192694664001,2.3220846111629947,1.453735791985598,1.068209697624955,0.4264164846411889,results/boltz-control-calibration-002/extracted/KRpep-2d-seed-17/boltz_results_KRpep-2d/predictions/KRpep-2d/KRpep-2d_model_0.cif
SCRAMBLE-20260914,17,0.9002220630645752,0.9125317335128784,0.9063768982887268,81.58755016326904,13,7,0.9412267208099365,1.8041130921037072,0.9855697011373679,0.9930455279593177,,results/boltz-control-calibration-002/extracted/SCRAMBLE-20260914-seed-17/boltz_results_SCRAMBLE-20260914/predictions/SCRAMBLE-20260914/SCRAMBLE-20260914_model_0.cif
KRpep-2d,42,0.9230306148529053,0.9694327712059021,0.9462316930294037,95.14455540974934,22,14,0.9731734991073608,1.8358255896462503,1.504588276705624,0.7501273785831301,21.469775963381036,results/boltz-control-calibration-002/extracted/KRpep-2d-seed-42/boltz_results_KRpep-2d/predictions/KRpep-2d/KRpep-2d_model_0.cif
SCRAMBLE-20260914,42,0.9330163598060608,0.9451053142547607,0.9390608370304108,83.15610027313232,13,7,0.9605517983436584,1.8800979530598934,0.802530459608855,0.7258824856683079,,results/boltz-control-calibration-002/extracted/SCRAMBLE-20260914-seed-42/boltz_results_SCRAMBLE-20260914/predictions/SCRAMBLE-20260914/SCRAMBLE-20260914_model_0.cif
KRpep-2d,101,0.8599488735198975,0.9388939738273621,0.8994214236736298,94.39099972064679,13,13,0.9549961090087891,2.186355762336038,1.7721011044519992,0.7249240841633006,0.5154947671409896,results/boltz-control-calibration-002/extracted/KRpep-2d-seed-101/boltz_results_KRpep-2d/predictions/KRpep-2d/KRpep-2d_model_0.cif
SCRAMBLE-20260914,101,0.8931801915168762,0.9493309259414673,0.9212555587291718,81.13964449974799,18,13,0.9635117053985596,1.7628282016691255,1.8320586144826236,1.1664993961850136,,results/boltz-control-calibration-002/extracted/SCRAMBLE-20260914-seed-101/boltz_results_SCRAMBLE-20260914/predictions/SCRAMBLE-20260914/SCRAMBLE-20260914_model_0.cif
